numero de post,fecha,caption
24,25 de julio de 2021,"#PanamáMetro | El Equipo #PanavaC19 en conjunto a autoridades de Salud, Juntas Comunales y @MeducaPma se mantienen apoyando la Estrategia Continua de Vacunación en el Instituto América y el Instituto Nacional en donde cientos de jóvenes acuden a recibir su 1ra. dosis de Pfizer."
25,25 de julio de 2021,"#BuenGobiernoComunica en Salud

⬇️
✅Llegan 967,590 dosis de Pfizer en una semana.
✅Se aprueban barridos en 8 circuitos.
✅Panamá y Costa Rica firman protocolo binacional de circulación laboral."
26,25 de julio de 2021,"#Herrera | El equipo de Promoción de la Salud de la provincia se trasladó a los centros de vacunación ubicados en los circuitos 6-2 y 6-3, para promover entre la población la importancia de las medidas de bioseguridad y así poder disminuir el número de contagios por #COVID19."
27,25 de julio de 2021,"#Chiriquí | Nos mantenemos realizando inspecciones, recomendaciones y operativos de nebulización de día y noche en las áreas más infestadas del aedes aegypti y en las inmediaciones donde se registren casos de dengue.
Limpia tus predios, ¡cuídate del mosquito!"
28,24 de julio de 2021,"#PanamáMetro| Realizamos un operativo nocturno en el Casco Antiguo, donde verificamos un establecimiento que tenía una orden de cierre temporal por múltiples incumplimientos de bioseguridad. Suspendimos las operaciones del local por violar nuevamente las disposiciones sanitarias."
29,24 de julio de 2021,Desglose de corregimientos con más casos en el país para el 24 de julio de 2021. #UnPanamáMejor #ProtégetePanamá
30,24 de julio de 2021,"Compartimos la actualización de datos sobre #COVID19 en nuestro país.
Sábado 24 de julio de 2021.
#ProtégetePanamá
#UnidosVenceremos"
31,24 de julio de 2021,Comunicado N° 515 #UnPanamáMejor🇵🇦 #ProtégetePanamá
32,24 de julio de 2021,"¡101,944 dosis aplicadas el día de hoy! Comprometidos con salvaguardar la vida y la salud de la población, el equipo #PanavaC19 avanza con organización y eficacia en la vacunación contra el #COVID19 en todo el territorio nacional. ¡Sigamos cuidándonos! #YaFaltaMenos🇵🇦"
33,24 de julio de 2021,"Más de 2 millones de dosis de vacunas contra el #COVID19 han sido aplicadas en todo el país. Tenemos un equipo comprometido y enfocado en la misión, que trabaja todos los días para salvaguardar la salud y la vida de los panameños. ¡Seguimos avanzando! #YaFaltaMenos🇵🇦 #PanavaC19"
34,none,none
35,23 de julio de 2021,"¡La Operación #PanavaC19 sigue avanzando en el territorio nacional! Miles de jóvenes desde los 16 años de edad, incluyendo pacientes de enfermedades crónicas y discapacidad certificada desde los 12 años, acuden a recibir su 1ra. dosis de Pfizer en los 8 circuitos de vacunación."
36,23 de julio de 2021,"Un total de 163,000 dosis de la vacuna AstraZeneca contra el #COVID19 llegarán a Panamá en la primera semana de agosto, las cuales se utilizarán para inocular con su segunda dosis a hombres y mujeres desde los 30 años de edad. #YaFaltaMenos🇵🇦"
37,23 de julio de 2021,"El Ministro @LPacoSucre junto a Stewart Tuttle, jefe de misión interino de @USEmbPAN, visitaron @udelasoficial donde realizamos el barrido con Pfizer para moradores desde los 16 años y personas con enfermedades crónicas o discapacidad desde los 12 años, del circuito 8-7."
38,22 de julio de 2021,"Agradecemos a la Iglesia de Jesucristo de Los Santos de los Últimos Días por la donación de insumos médicos valorados en alrededor de B/.80,000, los cuales serán destinados al Hospital Nicolás A. Solano, ubicado en el distrito de La Chorrera, provincia de Panamá Oeste."
39,22 de julio de 2021,"#Veraguas | Se mantiene en orden el proceso de vacunación contra el #COVID19 de Pfizer en los circuitos 9-2 y 9-4, en donde gran cantidad de jóvenes han acudido a aplicarse su dosis de esperanza para protegerse y cuidar su vida. #PanavaC19 #YaFaltaMenos"
40,22 de julio de 2021,"📍Centros de vacunación habilitados en el circuito 6-2.

Vacunación por barrido contra el #COVID19. (Pfizer💉)
✅Población desde los 16 años.
✅Pacientes crónicos y personas con discapacidad desde los 12 años con certificación.

#YaFaltaMenos🇵🇦 #PanavaC19"
41,21 de julio de 2021,"#Chiriquí | Con gran entusiasmo inicia esta mañana la vacunación masiva en la modalidad de barrido para el circuito 4-1 en David, para inmunizar a toda la población desde los 16 años en adelante y personas con enfermedades crónicas o algún tipo de discapacidad mayores de 12 años."
42,21 de julio de 2021,"#Veraguas | ¡Inicia el proceso de vacunación contra el #COVID19 en los circuitos 9-2 y 9-4! Desde temprano se acercan a recibir su primera dosis de Pfizer toda persona mayor de 16 años, incluyendo pacientes crónicos y personas con discapacidad mayores de 12 años certificadas."
43,19 de julio de 2021,Comunicado N° 510 #UnPanamáMejor🇵🇦 #ProtégetePanamá
44,19 de julio de 2021,"#LosSantos | Con 25,240 dosis de la casa farmacéutica Pfizer aplicadas, finalizó este domingo 18 de julio la vacunación por barrido a toda la población mayor de 16 años, personas con discapacidad y pacientes de enfermedades crónicas mayores de 12 años del circuito 7-2."
45,19 de julio de 2021,"#SanMiguelito | Seguimos avanzando con la operación #PanavaC19, trayendo tranquilidad y esperanza con la vacuna en la Escuela Los Andes No.2, en donde personas mayores de 30 años con previa cita agendada se acercaron a recibir su 2da. dosis de AstraZeneca."
46,19 de julio de 2021,"#PanamáOeste | Como parte de las estrategias sanitarias para disminuir la incidencia de casos por #COVID19, se llevó a cabo un operativo en el distrito de Chame, en el que fue detectado un establecimiento que incumplía las medidas sanitarias, por lo que fue citado."
47,18 de julio de 2021,Desglose de corregimientos con más casos en el país para el 18 de julio de 2021. #UnPanamáMejor #ProtégetePanamá
48,18 de julio de 2021,"Compartimos la actualización de datos sobre #COVID19 en nuestro país.
Domingo 18 de julio de 2021.
#ProtégetePanamá
#UnidosVenceremos"
49,18 de julio de 2021,Comunicado N° 509 #UnPanamáMejor🇵🇦 #ProtégetePanamá
50,18 de julio de 2021,"#SanMiguelito | La Región de Salud informa que las mujeres y hombres mayores de 30 años podrán acudir a recibir su 2da. dosis de AstraZeneca, con previa cita agendada, en la Escuela Los Andes #2, este lunes 19 y martes 20 de julio.

Verifica tu cita en:
vacunas.panamasolidario.gob.pa/verificate"
51,18 de julio de 2021,"#BuenGobiernoComunica en Salud

✅Llega el lote más grande de Pfizer a Panamá.
✅Inicia la vacunación de personas con enfermedades crónicas y personas con discapacidad a partir de los 12 años.
✅El Ministro @LPacoSucre verifica la capacidad hospitalaria."
52,18 de julio de 2021,"Este 18 de julio conmemoramos el #DíaDelNiñoYLaNiña con el objetivo de valorar la importancia de este grupo, como semilla del futuro de la humanidad y en atención a la vulnerabilidad por su condición, tanto físicas como intelectuales propias de su edad."
53,17 de julio de 2021,Desglose de corregimientos con más casos en el país para el 17 de julio de 2021. #UnPanamáMejor #ProtégetePanamá
54,17 de julio de 2021,"Compartimos la actualización de datos sobre #COVID19 en nuestro país.
Sábado 17 de julio de 2021.
#ProtégetePanamá
#UnidosVenceremos"
55,17 de julio de 2021,Comunicado N° 508 #UnPanamáMejor🇵🇦 #ProtégetePanamá
56,17 de julio de 2021,"#Herrera | Continúa con gran éxito la vacunación masiva con Pfizer a toda la población mayor de 16 años, incluyendo a los pacientes de enfermedades crónicas o discapacidad debidamente certificadas, residentes del distrito de Chitré. #YaFaltaMenos🇵🇦"
57,17 de julio de 2021,"#LosSantos | ¡La operación #PanavaC19 no se detiene! La estrategia de barrido con Pfizer para toda la población mayor de 16 años, incluyendo jóvenes con discapacidad y pacientes crónicos certificados mayores de 12 años continúa a un buen ritmo en el circuito 7-2."
